# ----------------------------------------
# Key event attribution paths
# Account: Inspira Hotels
# Property: https://www.inspirahotels.com - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260302
Primary channel group path,Data-driven path attributed key events,Key events,Purchase revenue,Days to key event,Touch points to key event
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Organic Search"",""Paid Search"",""Organic Search""]",NaN,1,450.449999,2,7
"[""Organic Social"",""Cross-network"",""Organic Social""]",NaN,1,458.45,1,3
"[""Paid Social"",""Organic Social"",""Paid Social"",""Organic Search"",""Organic Search""]",NaN,1,459,1,5
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Email"",""Unassigned"",""Unassigned"",""Unassigned"",""Email"",""Email"",""Email"",""Email"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1,462.899999,19,20
"[""Organic Search"",""Organic Social"",""Organic Search"",""Organic Search""]",NaN,1,467.5,0,4
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,1,467.999996,0,12
"[""Organic Search"",""Organic Social"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,1,470.05,5,7
"[""Organic Search"",""Organic Search"",""Email"",""Organic Search""]",NaN,1,472.07,1,4
"[""Unassigned"",""Unassigned"",""Unassigned"",""Paid Search""]",NaN,1,493.499999,0,4
"[""Unassigned"",""Organic Social"",""Organic Social""]",NaN,1,493.85,6,3
"[""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search""]",NaN,1,496.819997,0,4
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,1,496.999995,1,11
"[""Paid Social"",""Paid Social"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1,504.01,9,5
"[""Paid Social"",""Unassigned"",""Unassigned"",""Referral"",""Referral""]",NaN,1,516.589998,0,5
"[""Unassigned"",""Unassigned"",""Referral"",""Referral""]",NaN,1,519.559996,0,4
"[""Paid Search"",""Paid Search"",""Paid Search"",""Unassigned"",""Paid Search"",""Referral"",""Referral""]",NaN,1,519.559997,1,7
"[""Paid Search"",""Paid Search"",""Unassigned""]",NaN,1,520.2,0,3
"[""Email"",""Email"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,1,524.399982,35,20
"[""Unassigned"",""Unassigned"",""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral""]",NaN,1,529.549998,19,10
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Referral""]",NaN,1,535.499999,5,5
"[""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1,538.999998,0,4
"[""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,1,545.999993,0,8
"[""Unassigned"",""Paid Search"",""Unassigned""]",NaN,1,545.999999,0,3
"[""Unassigned"",""Organic Search"",""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social"",""Referral""]",NaN,1,553.349995,8,8
"[""Organic Search"",""Organic Search"",""Unassigned"",""Organic Search""]",NaN,1,554.199998,2,4
"[""Paid Search"",""Unassigned"",""Paid Search"",""Unassigned"",""Unassigned"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,1,555.259997,1,10
"[""Referral"",""Organic Search"",""Email"",""Email"",""Organic Search"",""Email"",""Organic Search""]",NaN,1,562.8,2,7
"[""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,1,571.199997,0,5
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,1,581.25,5,4
"[""Organic Search"",""Organic Search"",""Organic Social""]",NaN,1,603.669999,0,3
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Unassigned""]",NaN,1,611.519997,5,5
